,text,created_at,troll
0,"RT @IsraelandStufff: Teenage #Palestinian #Arab #terrorist gets 12 years in prison for attempted murder in #Jerusalem stabbing

Ahmad... ht…",2016-11-07 08:18:12,1
1,RT @thomassfl: Wikileaks E-Mails:  Hillary Clinton Blackmailed Bernie Sanders https://t.co/l9X32FegV6.,2016-11-08 10:57:57,1
2,RT @DeanteVH: Trump can't run his own Twitter but people think he can run a country. Y'all wild https://t.co/5xZPUykUyJ,2016-11-07 17:16:15,1
3,RT @TrumpNV: Make this your profile picture if you voted today! #ElectionDay #TrumpPence16 https://t.co/ngoQoJAmAX,2016-11-08 11:00:45,1
4,VIDEO : Trump Will Give Blacks Real HOPE AND CHANGE! https://t.co/AbH2dZLWeQ https://t.co/VROJFfpCYF,2016-11-08 04:32:45,1
5,"Today's the day, go out and vote for Trump #TrumpPence16 #Trump2k16 #MAGA #Election2016 #MakeAmericaGreatAgain #TrumpForPresident",2016-11-08 15:54:12,1
6,"RT @PoundSignGames: #GameAlert The Day X is coming!
Try to describe #2016ElectionIn3Words and let's have fun with @GiselleEvns",2016-11-07 06:16:28,1
7,RT @4coloredgyrl: #BlackWomenVote I just did it in Maryland!!! #ImWitHer #Election2016 https://t.co/cXfaotFvZc,2016-11-08 06:34:07,1
8,RT @Stevenwhirsch99: Be the voice for these 4 men that Hillary left for dead. #Benghazi #ElectionDay https://t.co/c83qXIoWgq,2016-11-08 17:05:45,1
9,RT @USAforTrump2016: Make America Great Again! #Election2016 #Trump2016 #ElectionDay #VoteTrump https://t.co/s0R9JXYYEs,2016-11-08 05:08:20,1
10,"RT @tacoeater: #WriteAPanel 1) Lincoln, Roosevelt, Truman, Reagan; they all loved her. now it's President Comacho.  2) ouch, my balls!",2016-11-08 03:45:39,1
11,I voted for Donald Trump and Mike Pence. Will you join me? Find your polling place: https://t.co/sCr0crhWcy #TrumpTrain… #TrumpForPresident,2016-11-08 11:17:35,1
12,"RT @renatomotta1303: 90 #writeapanel 1) ok kids mommy's in there, go run in with your backpacks 2) Yay Daddy!!",2016-11-08 02:52:48,1
13,Celebrities who can't see you but you think they saw that last tweet because they said something vaguely related. #ThingsPeopleOnTwitterLike,2016-11-08 02:06:19,1
14,RT @stephanisbest: Issa and Molly making bad decisions tonight #InsecureHBO https://t.co/LBnKCV1B2K,2016-11-07 01:19:08,1
